ticker,Cotacao_justa,Cotacao_atual
MMAQ3,1413.8112,2550.01
HETA3,122.16697,96.0
PRIO3,89.53032,41.63
MMAQ4,1413.8112,2550.01
NUTR3,69.31525,3.99
DEXP3,16.350208,8.2
BMEB4,34.660587,38.19
MNPR3,21.829557,22.05
BMEB3,36.978878,32.0
RSUL4,41.56811,55.0
ODER4,80.67363,100.0
MRSA5B,33.56809,29.9
BPAC3,19.772627,13.98
WLMM4,41.598072,30.5
CTKA4,26.287762,21.5
WEGE3,57.04979,53.52
BRGE5,20.410769,13.18
MRSA3B,33.56809,32.0
FRIO3,142.63971,300.21
WLMM3,33.56809,24.85
CEDO3,36.978878,30.5
CTKA3,26.287762,21.89
BRGE12,20.822649,13.47
BPAC11,32.286663,28.04
FRAS3,19.277834,20.8
ENMT4,91.573326,84.9
BRGE7,20.822649,13.07
BAUH4,63.676075,78.19
CPLE5,17.024248,10.9
ENMT3,75.54845,77.26
CEDO4,30.466812,22.0
KEPL3,18.443037,9.28
BPAC5,18.443037,7.11
EALT3,24.877148,13.97
BAZA3,86.260635,84.8
BRGE3,20.822649,13.5
BRGE8,20.822649,13.17
EUCA4,24.994976,13.5
DIRR3,34.803585,25.58
BPAN4,17.175692,6.34
SHUL4,18.061213,5.59
STBP3,19.277834,13.1
TXRX3,32.11862,10.0
JBSS3,34.803585,35.83
BRGE11,20.822649,13.18
EALT4,24.877148,13.07
CPLE6,18.443037,9.15
MRFG3,20.284632,16.8
MRSA6B,33.34949,28.0
TOTS3,22.090002,27.01
SOND6,34.803585,46.0
MERC3,36.701305,15.28
CEBR3,25.32622,15.9
CEBR6,25.32622,17.6
HBTS5,29.20076,28.0
CPLE3,18.443037,8.28
BNBR3,92.913895,101.33
LUXM4,18.89601,12.0
EMBR3,63.676075,58.05
MTSA4,34.803585,38.78
SBSP3,58.63518,89.24
ENEV3,20.822649,10.67
EKTR4,34.803585,49.0
ELET5,85.202446,82.57
EQPA7,18.443037,8.24
BRIV3,30.75813,12.86
MOAR3,335.2613,400.0
MNDL3,39.582813,16.01
EQPA3,18.1737,5.44
RANI3,18.010485,6.99
PATI3,34.803585,25.01
EKTR3,34.803585,40.03
EMAE4,54.22346,39.19
VULC3,26.78031,16.17
CEBR5,25.32622,15.42
POSI3,19.37079,5.21
CSUD3,25.32622,15.45
TECN3,18.1737,5.46
CGAS5,118.1279,124.02
BSLI3,18.010485,7.82
BEES4,18.443037,8.46
MILS3,18.443037,8.62
RADL3,29.241667,21.35
BEES3,18.443037,8.29
BRIV4,20.284632,12.54
ETER3,19.37079,5.07
SOND5,34.803585,39.5
PINE4,18.1737,4.29
CGAS3,118.1279,122.0
FESA3,18.89601,13.1
UNIP5,36.58633,50.8
CURY3,26.78031,17.95
SLCE3,19.277834,17.33
JHSF3,18.1737,3.75
EQTL3,28.563055,27.67
CMIG3,29.764175,14.61
POMO4,18.443037,7.69
EUCA3,24.994976,16.5
UNIP3,36.58633,46.06
PTNT4,17.175692,5.68
UNIP6,34.803585,45.63
CLSC3,68.08811,79.24
ORVR3,31.375223,38.21
POMO3,18.1737,5.8
TKNO4,79.872574,61.0
PATI4,34.803585,35.0
CEGR3,40.91546,56.01
KLBN4,17.472467,4.4
GGBR3,25.32622,16.32
ALUP4,18.443037,9.06
ELMD3,22.090002,28.69
CRIV3,20.284632,6.98
SUZB3,63.676075,62.02
CLSC4,68.08811,78.28
EQPA5,18.443037,8.0
CAMB3,24.257822,10.46
PFRM3,18.443037,6.23
CASN3,33.59086,10.45
CEEB5,36.978878,35.7
ALUP11,34.803585,27.2
USIM6,18.89601,13.74
KLBN11,28.563055,22.56
PETR4,36.978878,36.98
FESA4,18.061213,7.66
PETR3,36.978878,41.12
GGBR4,26.78031,17.94
CMIG4,24.877148,11.11
ROMI3,18.443037,8.78
TAEE4,18.443037,11.19
CEEB3,36.978878,38.41
TASA4,18.010485,8.45
AGRO3,32.286663,22.69
CXSE3,76.53589,14.18
SAPR4,18.1737,5.2
PORT3,19.277834,16.69
GOAU4,20.130346,9.99
BMIN4,26.78031,16.89
ELET3,34.803585,34.17
PSSA3,34.803585,37.0
SOND3,34.803585,47.0
TAEE11,34.803585,33.46
GOAU3,20.130346,10.24
ATOM3,16.780962,4.3
VLID3,32.281094,23.4
ALUP3,18.443037,9.14
BMIN3,26.78031,19.5
MERC4,18.010485,9.45
AFLT3,18.865843,7.36
SMTO3,33.34949,24.85
RAPT3,18.443037,8.32
SAPR11,32.281094,26.34
BBSE3,40.928173,36.53
PEAB4,41.282272,52.0
UGPA3,25.32622,16.42
ENGI3,18.443037,10.25
TASA3,18.010485,8.68
TAEE3,18.443037,11.05
HOOT4,20.480862,2.28
JOPA4,30.950397,23.1
BPAR3,142.95369,182.07
TIMS3,21.708174,14.81
BRAP3,79.02965,15.07
CRIV4,20.284632,6.74
BMKS3,289.29697,330.0
BALM3,25.32622,13.0
BRGE6,20.822649,12.92
ELET6,34.803585,37.73
TXRX4,18.525654,2.1
ABCB4,32.281094,19.5
VIVT3,52.611217,48.72
PEAB3,41.282272,42.5
KLBN3,17.472467,4.8
CGRA3,33.34949,27.0
CGRA4,33.34949,27.39
TTEN3,20.130346,13.28
BRAP4,79.02965,15.91
B3SA3,18.89601,10.31
BRFS3,26.78031,23.72
NEOE3,32.480083,19.06
LOGG3,51.408367,18.83
GGPS3,19.277834,14.88
RENT3,22.889063,32.0
PTNT3,18.010485,7.96
CPFE3,33.34949,31.82
TUPY3,26.78031,21.83
CYRE3,27.39407,16.85
RECV3,26.78031,16.36
BSLI4,18.010485,8.46
INEP3,17.26715,1.37
LEVE3,33.34949,26.62
RAPT4,18.443037,9.55
EGIE3,33.34949,35.58
TRIS3,17.791876,4.51
VALE3,41.56811,52.05
PLPL3,19.061949,9.25
TGMA3,34.803585,28.45
ISAE3,33.34949,31.5
LUXM3,18.89601,10.0
FIBR3,91.53899,66.3
SJOS4,15.776716,0.09
DAGB33,170.43115,375.0
BOBR3,24.171164,1.0
FIGE4,32.40449,38.01
SULT3,17.014042,0.56
SULT4,17.26715,0.43
VALE5,30.466812,33.36
SJOS3,18.110163,1.19
APTI4,1408.8948,3500.0
COCE6,32.40449,35.0
CORR3,1168.6434,12.0
BEEF3,29.12506,4.94
DEXP4,16.754911,8.24
BBAS3,31.367817,24.25
CSMG3,32.281094,20.84
ENGI11,36.978878,37.64
PRNR3,48.229317,13.39
BIED3,27.744509,4.77
TFCO4,18.061213,8.8
GEPA3,25.846327,31.0
LAND3,24.952387,13.71
ISAE4,32.281094,23.38
CSAN3,18.443037,8.38
WHRL3,16.637674,3.95
HETA4,41.062244,6.3
SAPR3,18.1737,5.32
TPIS3,19.37079,5.52
JOPA3,30.950397,21.0
EVEN3,17.175692,5.61
REDE3,18.061213,6.35
SBFG3,24.257822,11.85
ENGI4,18.443037,6.75
ITSA4,32.50882,8.88
IGTI3,16.637674,2.09
ITUB3,33.34949,27.75
CCRO3,18.89601,10.47
BRAV3,22.090002,23.94
IGTI11,19.277834,17.35
ITUB4,34.803585,31.5
WHRL4,16.637674,4.29
MULT3,26.78031,20.85
PNVL3,18.89601,8.76
CORR4,1168.6434,82.0
ITSA3,32.50882,9.06
ODPV3,20.99985,10.53
ALOS3,20.076895,18.14
LAVV3,18.1737,7.2
TEND3,20.822649,12.65
CAML3,18.1737,5.77
VIVA3,26.78031,18.96
GEPA4,31.206987,30.38
BALM4,24.257822,10.51
LIPR3,41.03861,42.0
EQMA3B,32.281094,23.5
WIZC3,18.1737,5.32
HAGA4,16.04548,1.22
LUPA3,18.1737,1.26
ABEV3,19.277834,11.54
AHEB6,42.20849,41.0
GMAT3,17.175692,6.22
BOBR4,24.171164,1.93
VBBR3,28.686855,18.02
BGIP3,30.466812,24.87
BGIP4,30.466812,24.0
COCE3,30.950397,26.01
INTB3,25.32622,12.5
FLRY3,18.443037,12.24
LWSA3,20.300373,3.45
HAGA3,16.144972,1.87
SYNE3,23.215015,5.33
GRND3,18.061213,5.33
UCAS3,16.637674,1.82
SOJA3,20.130346,10.09
BRBI11,25.32622,12.55
BRSR5,25.32622,14.8
BMOB3,18.443037,13.57
SANB4,19.242098,12.75
JSLG3,18.443037,5.72
VAMO3,17.175692,4.75
DXCO3,18.010485,6.03
VITT3,17.175692,5.21
HYPE3,26.11385,18.01
MDNE3,24.877148,10.79
SMFT3,19.242098,17.89
AZZA3,32.286663,31.32
SANB11,33.93417,24.37
CMIN3,18.061213,4.78
RSID3,18.366297,2.94
EQPA6,18.443037,8.0
COCE5,30.950397,25.33
USIM5,18.061213,5.08
JALL3,16.637674,4.55
EZTC3,20.130346,11.03
AURE3,18.061213,8.36
AHEB3,36.763535,38.25
PINE3,18.1737,4.44
SANB3,19.242098,11.55
BRSR3,24.257822,11.2
MYPK3,18.443037,12.22
OFSA3,26.78031,16.89
OPCT3,17.175692,5.33
SRNA3,17.472467,5.87
SCAR3,24.994976,16.1
BDLL4,-70.966606,8.4
AHEB5,47.75515,45.0
BBDC3,19.242098,10.6
BBDC4,19.242098,11.58
BMGB4,17.791876,3.8
VTRU3,18.010485,6.71
MDIA3,27.56794,20.37
ECOR3,18.1737,4.3
MELK3,17.175692,3.53
CEAB3,18.443037,8.06
USIM3,18.061213,5.11
DESK3,18.89601,10.5
BPHA3,19.222359,0.62
BRSR6,19.37079,9.74
ALLD3,19.061949,7.05
ASAI3,17.175692,5.8
RDOR3,22.747889,26.65
INEP4,17.26715,1.34
LREN3,18.443037,13.07
FIQE3,17.175692,3.38
YDUQ3,18.89601,9.11
DMVF3,17.175692,5.7
PGMN3,16.637674,3.42
BLAU3,19.277834,12.93
CRFB3,28.946875,6.15
RAIZ4,20.284632,2.15
GUAR3,18.010485,5.9
SEER3,17.472467,4.37
FIGE3,24.994976,12.03
PETZ3,28.946875,4.3
NINJ3,17.249102,5.0
ARML3,17.175692,5.54
CSED3,17.175692,3.11
LPSB3,17.472467,1.5
BDLL3,-63.60533,12.0
BRIT3,16.637674,3.06
HBOR3,16.906355,1.4
LJQQ3,16.637674,2.16
HBRE3,18.1737,3.05
ONCO3,17.472467,2.13
MTRE3,17.175692,3.05
RNEW11,18.1737,2.95
RNEW4,16.368338,0.97
RNEW3,16.368338,0.98
MGLU3,18.010485,6.6
LVTC3,17.472467,2.35
IRBR3,36.58633,44.64
OIBR4,31.225971,8.84
ATMP3,17.26715,1.26
SLED3,17.26715,3.21
SLED4,17.26715,1.6
OIBR3,22.097744,1.36
AMER3,-63.60533,5.71
PDGR3,15.625277,0.01
